Paquete,base,StableDif,bigquery,bipic,blablacar,crewai,django,eda_dataprep,flowise,hispasonic,jupyterbook,kaggle,perception_scraper,praisonai,report_generator,rstudio,sonus,sqlite,synth_data,tf_env,time_series
absl-py,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
accessible-pygments,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
aiofiles,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
aiohappyeyeballs,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
aiohttp,❌,❌,✅,✅,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
aiosignal,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
aiosqlite,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
alabaster,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
alsa-lib,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,❌,❌,❌,❌,❌,❌,❌,❌
amqp,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
anaconda-anon-usage,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
annotated-types,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
anyio,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
appdirs,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌
archspec,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌
argon2-cffi,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
argon2-cffi-bindings,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
array-record,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
arrow,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,✅,✅,❌,❌,❌,✅,✅,❌,❌,❌,❌
arrow-cpp,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
asgiref,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
asttokens,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
astunparse,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌
async_generator,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
async-lru,❌,❌,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
async-timeout,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
atk-1.0,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
attr,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌
attrs,❌,❌,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,❌,✅,❌
